Rk,Type,Team,Tm,FGA,3PA,2PA,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Age,Pace,FTr,Dist.,%FG: 2P,%FG: 0-3,%FG: 3-10,%FG: 10-16,%FG: 16-3P,%FG: 3P,%FG: Ast'd: 2P,%FG AST'd: 3P,%FGA Dunk,%3PA Corner,Bench MIN,Bench FGA
10,Post,20PMilwaukee Bucks,Milwaukee Bucks,87.1,37.1,50,24.3,9.4,37.3,46.7,24.3,7.2,4.2,14.9,21.7,29.8,100.3,0.279,15.2,0.574,0.223,0.162,0.092,0.098,0.426,0.496,0.827,0.06,0.272,17.7,24.7
11,Post,20POklahoma City Thunder,Oklahoma City Thunder,85.4,36.6,48.9,24,9,40.9,49.9,17.9,5.3,4,17,17.1,25.7,100.1,0.281,15.4,0.572,0.239,0.154,0.085,0.094,0.428,0.358,0.75,0.035,0.219,15.8,26.6
12,Post,20POrlando Magic,Orlando Magic,88.6,39.8,48.8,21,6.6,36.4,43,23.8,6.8,3.2,14.6,21,27,104.4,0.237,17,0.551,0.153,0.111,0.147,0.14,0.449,0.514,0.827,0.016,0.131,17.4,29.4
13,Post,20PPhiladelphia 76ers,Philadelphia 76ers,84,30.3,53.8,32,12.3,33.8,46,17.5,5,4.5,12,22.3,26.4,95.2,0.381,14.8,0.64,0.182,0.19,0.164,0.104,0.36,0.426,0.844,0.027,0.157,13.3,19.5
14,Post,20PPortland Trail Blazers,Portland Trail Blazers,88.2,30.6,57.6,25,9.8,33,42.8,17.8,7.4,3.6,16,25,26.6,101.9,0.283,14.4,0.653,0.254,0.143,0.125,0.132,0.347,0.385,0.672,0.043,0.176,15.6,22.6
15,Post,20PToronto Raptors,Toronto Raptors,88.5,40.3,48.2,21.3,8.2,36.5,44.6,24.8,7.1,5.5,13.1,22.5,27.1,99.1,0.24,15.5,0.545,0.263,0.14,0.07,0.072,0.455,0.52,0.826,0.034,0.149,14.7,27.4
16,Post,20PUtah Jazz,Utah Jazz,81.9,37.3,44.6,23.3,9.3,31.9,41.1,21.4,6.1,3.1,12,19,26.8,91.5,0.284,14.6,0.545,0.251,0.185,0.075,0.033,0.455,0.444,0.682,0.066,0.249,13.8,26.1
1,Post,19PBoston Celtics,Boston Celtics,84.1,33,51.1,24.2,7.4,40.6,48,21.4,5.7,3.9,14.8,20.8,26.2,99.9,0.288,15.5,0.608,0.226,0.137,0.114,0.131,0.392,0.466,0.892,0.038,0.205,16.5,25.3
2,Post,19PBrooklyn Nets,Brooklyn Nets,91.4,34,57.4,29.2,11.4,29.2,40.6,19.2,7.4,2.8,14.2,22.8,25.3,104.4,0.319,13.1,0.628,0.33,0.151,0.112,0.035,0.372,0.504,0.491,0.063,0.094,21.9,41
3,Post,19PDenver Nuggets,Denver Nuggets,90.3,27.8,62.5,25.2,13.1,34.6,47.7,24,5.7,4.6,9.7,21.3,25.4,92.6,0.279,12.3,0.692,0.266,0.243,0.121,0.063,0.308,0.532,0.821,0.032,0.175,14.7,24.8
4,Post,19PDetroit Pistons,Detroit Pistons,96.8,33.3,63.5,16.5,10.8,31.5,42.3,23,7.3,4,10.5,24.3,26.5,101.3,0.171,13.7,0.656,0.258,0.176,0.132,0.09,0.344,0.5,0.886,0.067,0.286,19.6,36.5
5,Post,19PGolden State Warriors,Golden State Warriors,86.1,32.7,53.4,24.3,10.1,33.2,43.3,28.4,7.4,5.7,14.9,23.2,29.1,98.1,0.282,15.4,0.62,0.24,0.12,0.132,0.128,0.38,0.664,0.757,0.071,0.199,14.6,19.3
6,Post,19PHouston Rockets,Houston Rockets,83.8,42.7,41.1,24.3,9.6,33.3,42.9,18.3,8.5,5.1,15.8,21.6,29.5,97,0.29,16.1,0.49,0.216,0.184,0.064,0.026,0.51,0.414,0.599,0.052,0.2,12.3,17.3
7,Post,19PIndiana Pacers,Indiana Pacers,83.5,29.8,53.8,20.5,8,32.3,40.3,20.8,8.3,3.5,12,20,27.7,95.3,0.246,14.1,0.644,0.314,0.108,0.069,0.153,0.356,0.574,0.725,0.03,0.16,16,29.8
8,Post,19PLos Angeles Clippers,Los Angeles Clippers,89.2,31.7,57.5,28.8,10,30.2,40.2,25.3,8,3.3,15,25,26.7,102.9,0.323,14.2,0.645,0.269,0.161,0.112,0.103,0.355,0.535,0.884,0.052,0.147,19.4,40.8
9,Post,19PMilwaukee Bucks,Milwaukee Bucks,88.4,38.1,50.3,28,10.1,41.8,51.9,25,6.7,6.4,12.9,21.8,27.6,100.1,0.317,14.6,0.569,0.306,0.124,0.085,0.054,0.431,0.519,0.859,0.051,0.207,18.2,27.7
10,Post,19POklahoma City Thunder,Oklahoma City Thunder,86,31.4,54.6,25.4,10.2,33,43.2,22.6,6.6,5.4,15.2,24.2,26.2,99.9,0.295,13.5,0.635,0.293,0.142,0.102,0.098,0.365,0.474,0.923,0.06,0.299,13.4,22.2
11,Post,19POrlando Magic,Orlando Magic,83,34.8,48.2,22.2,9.6,33.8,43.4,19,6.6,4,15.6,18.8,25.9,95.7,0.267,15.2,0.581,0.224,0.149,0.104,0.104,0.419,0.495,0.788,0.053,0.241,17.5,29
12,Post,19PPhiladelphia 76ers,Philadelphia 76ers,85.8,28.4,57.4,25.8,11.4,37.1,48.5,24.4,6.3,5.5,16.4,22.4,27.2,98.9,0.301,13.2,0.669,0.276,0.176,0.131,0.086,0.331,0.525,0.92,0.039,0.261,14.3,23
13,Post,19PPortland Trail Blazers,Portland Trail Blazers,90.4,32.8,57.6,24.8,11.4,33.8,45.3,19.8,6.8,5.2,12.9,22.8,26.6,96,0.274,13.9,0.637,0.287,0.151,0.11,0.089,0.363,0.434,0.656,0.039,0.166,17.3,24.1
14,Post,19PSan Antonio Spurs,San Antonio Spurs,85.1,19.9,65.3,23,10.7,34.4,45.1,21.1,4.6,4,8.4,19.4,28.3,91.9,0.27,12.5,0.767,0.221,0.237,0.178,0.131,0.233,0.463,0.894,0.032,0.187,17.3,27
15,Post,19PToronto Raptors,Toronto Raptors,84.8,34.5,50.3,23.3,8.3,34,42.3,22.5,8,4.6,12,22.6,28.4,96,0.275,14.9,0.594,0.226,0.168,0.104,0.096,0.406,0.502,0.808,0.05,0.26,13.8,22.6
16,Post,19PUtah Jazz,Utah Jazz,86.4,35.8,50.6,25.6,11.8,35.4,47.2,23,9.2,5.4,15.2,21.8,27,98.6,0.296,13.7,0.586,0.299,0.176,0.074,0.037,0.414,0.571,0.915,0.083,0.296,16,27.6
